"日付","1ツイート目（問題）","2ツイート目（正解・解説・URL）"
"2026-09-24","🚀 今日の宇宙クイズ！🪐

Q. 🌟 太陽系で一番大きい惑星はどれかな？ 🪐

① 地球
② 木星
③ 火星

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 木星 】でした！🎉

📖 かんたん解説：
正解は②木星！ 木星は、太陽系にある他のすべての惑星を合わせても、その重さは2倍以上になるくらい、とってもとっても大きいんだよ！まるで宇宙の王様みたいだね！👑

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-25","🚀 今日の宇宙クイズ！🪐

Q. 🌙 夜空に輝くお月さまは、本当はどんな色をしていると思う？ ✨

① ピカピカの金色
② 青色
③ 岩石のような灰色

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 岩石のような灰色 】でした！🎉

📖 かんたん解説：
正解は③岩石のような灰色！ お月さまは、太陽の光を反射して白く光って見えるんだ。本当は、地球の石ころみたいに、灰色や茶色っぽい岩でできているんだよ！🌕

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-26","🚀 今日の宇宙クイズ！🪐

Q. 💫 一番遠い星（恒星）まで、光の速さで進むとどれくらいかかるでしょう？ 🚀

① 1秒
② 100年
③ 4.2年

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 4.2年 】でした！🎉

📖 かんたん解説：
正解は③4.2年！ 私たちが夜空で見ている星の光は、何年も何年もかけて地球に届いているんだ。遠い星の光は、数千年、数万年かかって届くこともあるんですよ！🌌

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-27","🚀 今日の宇宙クイズ！🪐

Q. 🌠 流星群って、どうしてたくさん流れる星が見えるのかな？ ☄️

① 空に穴が開くから
② 小さな宇宙の石（チリ）が地球の大気で燃えるから
③ 宇宙飛行士がおもちゃをまくから

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 小さな宇宙の石（チリ）が地球の大気で燃えるから 】でした！🎉

📖 かんたん解説：
正解は②小さな宇宙の石（チリ）が地球の大気で燃えるから！ 流星群のときに見える「流れ星」は、宇宙を漂う小さな石やホコリが地球に飛び込んできて、空気とぶつかって光る現象なんだ。キラキラきれいだね！✨

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-28","🚀 今日の宇宙クイズ！🪐

Q. 🪐 太陽系には、惑星がいくつあるかな？ ☀️

① 8個
② 9個
③ 10個

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① 8個 】でした！🎉

📖 かんたん解説：
正解は①8個！ 水星、金星、地球、火星、木星、土星、天王星、海王星の8つだよ。昔は冥王星も仲間だったけど、今は準惑星という別のグループになったんだ。😊

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-29","🚀 今日の宇宙クイズ！🪐

Q. 👽 地球以外にも、生命がいるかもしれない星はあるのかな？ 🔭

① まだ見つかっていない
② たくさんいる
③ 絶対にいない

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① まだ見つかっていない 】でした！🎉

📖 かんたん解説：
正解は①まだ見つかっていない！ 科学者たちは、地球みたいに生き物が住める星を探しているんだ。宇宙はとっても広いから、いつか見つかるかもしれないね！ワクワクするね！💖

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-09-30","🚀 今日の宇宙クイズ！🪐

Q. 🪐 土星の「輪っか」は何でできていると思う？ 🪐

① 雲
② 氷や岩石の小さな粒
③ 虹

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 氷や岩石の小さな粒 】でした！🎉

📖 かんたん解説：
正解は②氷や岩石の小さな粒！ 土星の輪っかは、たくさんの氷の粒や岩が、土星の周りをぐるぐる回っているんだ。まるで土星がキラキラのネックレスをつけているみたいだね！💎

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-01","🚀 今日の宇宙クイズ！🪐

Q. 🌟 私たちの住んでいる「天の川銀河」には、星がいくつくらいあると思う？ 🌌

① 100個
② 100万個
③ 1000億個

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 1000億個 】でした！🎉

📖 かんたん解説：
正解は③1000億個！ すごくたくさんの星が集まって、私たちの銀河ができているんだ。夜空に見える星はほんの一部で、宇宙にはもっともっとたくさんの銀河や星があるんですよ！😮

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-02","🚀 今日の宇宙クイズ！🪐

Q. 🌑 皆既月食のとき、お月さまはどうして赤黒く見えるの？ 🔴

① 太陽が隠れるから
② 地球の影が月にかかるけど、地球の空を通った太陽の光が少しだけ届くから
③ 月が怒っているから

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 地球の影が月にかかるけど、地球の空を通った太陽の光が少しだけ届くから 】でした！🎉

📖 かんたん解説：
正解は②地球の影が月にかかるけど、地球の空を通った太陽の光が少しだけ届くから！ 地球の空気で太陽の光が曲がって、赤い光だけがお月さまに届くんだ。まるで、お月さまが夕焼け色になるみたいだね！🌇

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-03","🚀 今日の宇宙クイズ！🪐

Q. 🚀 ロケットが宇宙へ行くとき、一番大事なものは何かな？ 💨

① たくさんの酸素
② 燃料
③ お弁当

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 燃料 】でした！🎉

📖 かんたん解説：
正解は②燃料！ ロケットは、ものすごい量の燃料を燃やして、その力で重たい体を空高く、そして宇宙まで運んでもらうんだ。燃料がないと、ロケットは飛べないんだよ！🚀

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
